"From","To"
"2765976477","2898340121"
"2081133965","2150499457"
"2081133965","2065356234"
"2081133965","2003265506"
"2081133965","656596637"
"2081133965","41496479"
"2125355603","1516068682"
"2034500528","2489269504"
"2034500528","2181430154"
"2034500528","1994108693"
"2034500528","1987123926"
"2034500528","1982027544"
"2034500528","1878289315"
"2009797479","2025264203"
"2009797479","2004221625"
"2009797479","583484061"
"2029138605","2883811531"
"2029138605","2620285944"
"2029138605","2598510155"
"2029138605","2586895320"
"2029138605","2565824534"
"2029138605","2550292372"
"2029138605","2549385494"
"2029138605","2537125864"
"2029138605","2530030025"
"2029138605","2343463991"
"2029138605","2320321412"
"2029138605","2281675664"
"2029138605","2240829781"
"2029138605","2187245578"
"2029138605","2171473570"
"2029138605","2169089330"
"2029138605","2166536931"
"2029138605","2158237825"
"2029138605","2137021472"
"2029138605","2128054202"
"2029138605","2127887334"
"2029138605","2121210812"
"2029138605","2118839838"
"2029138605","2117247823"
"2029138605","2114431544"
"2029138605","2111522113"
"2029138605","2109145036"
"2029138605","2108460799"
"2029138605","2091480145"
"2029138605","2089466924"
"2029138605","2077758615"
"2029138605","2075350396"
"2029138605","2073892173"
"2029138605","2065709340"
"2029138605","2065451332"
"2029138605","2063674534"
"2029138605","2058244841"
"2029138605","2056810166"
"2029138605","2050931410"
"2029138605","2044497487"
"2029138605","2038566661"
"2029138605","2033079808"
"2029138605","2030364323"
"2029138605","2030192775"
"2029138605","2029391677"
"2029138605","2027890477"
"2029138605","2018990422"
"2029138605","2015415650"
"2029138605","2015226907"
"2029138605","2007645560"
"2029138605","2004834374"
"2029138605","2004437760"
"2029138605","2002548195"
"2029138605","2001871039"
"2029138605","1999851941"
"2029138605","1996911859"
"2029138605","1995382976"
"2029138605","1994923548"
"2029138605","1992497809"
"2029138605","1990946163"
"2029138605","1986219263"
"2029138605","1982662588"
"2029138605","1982315565"
"2029138605","1974719208"
"2029138605","1973198378"
"2029138605","1972428974"
"2029138605","1969739632"
"2029138605","1963571994"
"2029138605","1873141500"
"2029138605","1856837095"
"2029138605","1585550284"
"2029138605","1583444267"
"2029138605","1582963782"
"2029138605","1566789860"
"2029138605","1505519009"
"2029138605","1501824762"
"2029138605","1490214024"
"2029138605","375504622"
"2029138605","333110272"
"2029138605","151643473"
"2029138605","134809245"
"2029138605","126759755"
"2029138605","116628329"
"2029138605","75649237"
"138801802","2620073423"
"138801802","2617472076"
"138801802","2292451343"
"138801802","2165328754"
"138801802","2152293554"
"138801802","2100408980"
"138801802","2094647106"
"138801802","2070450119"
"138801802","2069395520"
"138801802","2055599586"
"138801802","2038248755"
"138801802","2030319141"
"138801802","2023667477"
"138801802","2015331797"
"138801802","2002961492"
"138801802","1987198869"
"138801802","1599372403"
"138801802","1504334504"
"138801802","1500296124"
"138801802","168200403"
"138801802","136890243"
"138801802","116962738"
"138801802","108055235"
"138801802","96774869"
"2015646586","2047197775"
"2015646586","2003060619"
"2784647816","2899233675"
"2784647816","2800453889"
"2784647816","2797130076"
"2264753273","2904793415"
"2264753273","2794941632"
"2264753273","2736010322"
"2264753273","2623111333"
